観測点番号,震度発表名称,機関,緯度,経度,メッシュコード,JCODE,AVS,ARV
1010542,札幌南区川沿＊,自治体,43,141.3326,6441420621,2,400.3,0.9994
1010543,札幌南区石山＊,自治体,42.9692,141.337,6441326624,8,461,0.8861
1010640,札幌西区琴似＊,自治体,43.0745,141.3009,6441428433,11,305.4,1.2583
1010740,札幌厚別区もみじ台＊,自治体,43.0304,141.4933,6441433932,5,289.6,1.3167
1010840,札幌手稲区前田＊,自治体,43.1199,141.2641,6441524113,13,160.6,2.176
1010900,江別市高砂町,気象庁,43.1037,141.5359,6441542224,9,247.8,1.5038
1010920,江別市緑町＊,防災科研,43.1161,141.546197,6441543343,9,199.4,1.8097
1011040,札幌清田区平岡＊,自治体,43.0002,141.4434,6441430512,10,289.4,1.3174
1020000,千歳市北栄,気象庁,42.8259,141.6414,6441159112,11,300.8,1.275
1020001,新千歳空港,気象庁,42.7839,141.6788,6441154412,5,226.9,1.6209
1020020,千歳市若草＊,防災科研,42.789997,141.600997,6441144833,5,280.2,1.3542
1020021,千歳市支笏湖温泉＊,防災科研,42.7755,141.402097,6441133211,5,330.3,1.1771
1020100,恵庭市漁平,気象庁,42.8435,141.4459,6441231521,5,329.2,1.1805
1020130,恵庭市京町＊,自治体,42.8826,141.5778,6441245633,5,240.9,1.5404
1020220,北広島市共栄＊,防災科研,42.992497,141.5524,6441349411,5,288.9,1.3197
1050000,八雲町大新,気象庁,42.2,140.25,6340224011,8,500.4,0.8263
1050001,八雲町上の湯,気象庁,42.1193,140.3662,6340124914,8,504.6,0.8204
1050020,八雲町住初町＊,防災科研,42.2586,140.263597,6340321111,15,188.9,1.8952
1050021,八雲町熊石雲石町＊,防災科研,42.129697,139.9815,6339175841,8,432.4,0.9358
1050120,長万部町平里＊,防災科研,42.494397,140.3539,6340529814,15,195.9,1.8369
1060000,函館市美原（旧）,気象庁,41.82,140.75,6240568013,8,361.4,1.0902
1060001,函館市尾札部町,気象庁,41.8901,141.029,6241606234,10,311.8,1.2366
1060002,函館市美原,気象庁,41.8169,140.7541,6240568012,8,367.3,1.0754
1060020,函館市大森町＊,防災科研,41.770097,140.7383,6240552913,16,260.2,1.4425
1060021,函館市泊町＊,防災科研,41.7162,141.002497,6241405033,8,441.1,0.92
1060022,函館市新浜町＊,防災科研,41.834497,141.141097,6241610112,15,202.8,1.7835
1060023,函館市川汲町＊,防災科研,41.905097,140.969697,6240678741,8,447.6,0.9086
1060030,函館市日ノ浜町（旧）＊,自治体,41.78,141.1,6241503742,8,417.9,0.9634
1060031,函館市日ノ浜町＊,自治体,41.7877,141.1077,6241504841,5,327.3,1.1863
1060300,七飯町桜町（旧）,気象庁,41.9,140.68,6240658412,11,310.7,1.2402
1060301,七飯町桜町,気象庁,41.9033,140.688,6240658513,8,460.8,0.8864
1060320,七飯町本町＊,防災科研,41.8995,140.695797,6240657543,8,475.5,0.8631
1060820,鹿部町宮浜＊,防災科研,42.043597,140.806397,6340065421,8,252.9,1.4777
1061000,渡島森町上台町,気象庁,42.1,140.57,6340142521,5,298,1.2851
1061001,渡島森町姫川,気象庁,42.07,140.58,6340048614,5,305.6,1.258
1061002,渡島森町御幸町（旧）,気象庁,42.1,140.58,6340142612,5,284.6,1.3366
1061003,渡島森町御幸町,気象庁,42.1052,140.5766,6340142631,8,370.8,1.0668
1061020,渡島森町上台町＊,防災科研,42.096297,140.563297,6340141531,5,308,1.2495
1061030,渡島森町砂原（旧）＊,自治体,42.12,140.67,6340154323,5,303.5,1.2652
1061031,渡島森町砂原＊,自治体,42.124,140.6673,6340154334,5,276.2,1.3708
1061130,渡島北斗市中央（旧）＊,自治体,41.82,140.65,6240558213,16,260.2,1.4425
1061131,渡島北斗市本町（旧）＊,自治体,41.88,140.65,6240655231,11,303.7,1.2645
1061132,渡島北斗市中央＊,自治体,41.8242,140.653,6240558233,15,181.2,1.9638
1061133,渡島北斗市本町＊,自治体,41.8835,140.6438,6240656121,11,309.4,1.2445
1070000,渡島松前町福山,気象庁,41.43,140.1104,6240101842,10,242.3,1.5327
1070001,渡島松前町清部,気象庁,41.5248,140.0069,6240202043,8,450.3,0.9039
1070120,福島町福島＊,防災科研,41.486197,140.247,6240118924,10,281.9,1.3472
1070200,知内町小谷石,気象庁,41.5322,140.414,6240233333,5,327.8,1.185
1070230,知内町重内（旧）＊,自治体,41.6,140.42,6240332321,16,260.2,1.4425
1070231,知内町重内＊,自治体,41.5984,140.419,6240331343,16,260.2,1.4425
1070320,木古内町木古内（旧）＊,自治体,41.68,140.43,6240431432,10,247.4,1.5058
1070321,木古内町木古内＊,防災科研,41.680028,140.432861,6240431441,15,207.5,1.749
1100000,檜山江差町姥神,気象庁,41.8678,140.1251,6240614011,8,358.9,1.0967
1100020,檜山江差町中歌町＊,防災科研,41.8691,140.127,6240614013,20,223.1,1.6447
1100100,上ノ国町早川,気象庁,41.68,140.05,6240401431,10,327.7,1.1852
1100120,上ノ国町湯ノ岱＊,防災科研,41.7492,140.2512,6240429033,8,477.3,0.8603
1100121,上ノ国町小砂子＊,防災科研,41.648697,139.9976,6239377944,8,450.6,0.9036
1100130,上ノ国町大留（旧）＊,自治体,41.8,140.12,6240506921,15,207.5,1.749
1100131,上ノ国町大留＊,自治体,41.8011,140.1213,6240506921,15,207.5,1.749
1100220,厚沢部町木間内＊,防災科研,41.9352,140.369497,6240722921,8,474.6,0.8644
1100230,厚沢部町新町（旧）＊,自治体,41.92,140.23,6240710814,13,178,1.9931
1100231,厚沢部町新町＊,自治体,41.9209,140.2255,6240710831,13,168.4,2.0899
1100330,乙部町緑町（旧）＊,自治体,41.97,140.13,6240716014,20,253.3,1.4761
1100331,乙部町緑町＊,自治体,41.9685,140.1357,6240716022,8,431.5,0.9374
1100820,今金町今金＊,防災科研,42.4286,140.0175,6340501114,2,400.3,0.9994
1100900,せたな町北檜山区豊岡,気象庁,42.4225,139.8767,6339570031,8,380,1.0446
1100920,せたな町大成区都＊,防災科研,42.2286,139.818397,6339267514,8,455.2,0.8957
1100921,せたな町瀬棚区本町＊,防災科研,42.4502,139.8537,6339564812,8,335.5,1.1616
1100922,せたな町瀬棚区北島歌＊,防災科研,42.5949,139.828697,6339761614,1,641.3,0.6689
1100930,せたな町北檜山区徳島（旧）＊,自治体,42.42,139.88,6339570014,13,161.2,2.1685
1100931,せたな町北檜山区徳島＊,自治体,42.4172,139.883,6339570021,13,163.5,2.1435
1150000,小樽市勝納町,気象庁,43.1828,141.017,6441601134,8,439.3,0.9233
1150020,小樽市花園町＊,防災科研,43.190697,140.9935,6440672934,10,354.6,1.1082
1150100,積丹町日司町,気象庁,43.3549,140.4723,6540032742,1,641.3,0.6689
1150120,積丹町美国町＊,防災科研,43.292097,140.6014,6440745811,8,422.6,0.9543
1150121,積丹町余別町＊,防災科研,43.3235,140.379097,6440738034,11,291.4,1.31
1150230,古平町浜町（旧）＊,自治体,43.27,140.63,6440752014,1,641.3,0.6689
1150231,古平町浜町＊,自治体,43.2654,140.6388,6440751133,15,207.5,1.749
1150330,仁木町西町（旧）＊,自治体,43.15,140.77,6440568121,11,274.6,1.3778
1150331,仁木町西町＊,自治体,43.1517,140.7661,6440568112,11,276.5,1.3698
1150400,余市町朝日町,気象庁,43.1952,140.7835,6440663223,15,207.5,1.749
1150420,余市町浜中町＊,防災科研,43.1974,140.7818,6440663241,3,375.9,1.0544
1150520,赤井川村赤井川＊,防災科研,43.0846,140.819997,6440560521,8,443.8,0.9153
1160020,ニセコ町中央通＊,防災科研,42.807697,140.6877,6440156533,6,405.6,0.9882
1160130,真狩村真狩（旧）＊,自治体,42.77,140.8,6440162413,5,288,1.323
1160131,真狩村真狩（旧２）＊,自治体,42.77,140.8,6440162413,5,288,1.323
1160132,真狩村真狩＊,自治体,42.763,140.8038,6440161432,6,405.6,0.9882
1160230,留寿都村留寿都（旧）＊,自治体,42.73,140.88,6440077032,5,300.9,1.2744
1160231,留寿都村留寿都＊,自治体,42.7374,140.8756,6440078013,5,279.9,1.3554
1160320,喜茂別町喜茂別＊,防災科研,42.797697,140.936397,6440175442,10,371.8,1.0642
1160430,京極町京極（旧）＊,自治体,42.85,140.88,6440272012,5,300.7,1.2754
1160431,京極町京極＊,自治体,42.8582,140.8841,6440272043,11,370.9,1.0664
1160500,倶知安町南１条,気象庁,42.9009,140.7573,6440268021,13,180.4,1.971
1160520,倶知安町北４条＊,防災科研,42.9057,140.7672,6440268132,13,181.2,1.9635
1170000,島牧村江ノ島,気象庁,42.6455,140.0412,6340707314,10,373.7,1.0597
1170020,島牧村泊＊,防災科研,42.701097,140.061597,6440004422,16,260.2,1.4425
1170100,寿都町新栄（旧）,気象庁,42.8,140.22,6440116721,8,450.1,0.9043
1170101,寿都町新栄,気象庁,42.7956,140.2243,6440115724,8,458.1,0.8909
1170120,寿都町渡島＊,防災科研,42.790397,140.2305,6440114834,8,438.9,0.924
1170220,黒松内町黒松内（旧）＊,自治体,42.67,140.3,6440020413,8,437.6,0.9264
1170221,黒松内町黒松内＊,防災科研,42.6679,140.3049,6440020412,10,306.4,1.2551
1170320,蘭越町蘭越＊,防災科研,42.8051,140.5302,6440146232,8,442.1,0.9183
1170430,共和町南幌似（旧）＊,自治体,42.98,140.62,6440347941,13,166.7,2.1082
1170431,共和町南幌似＊,自治体,42.9804,140.6112,6440347842,13,165.2,2.1245
1170500,岩内町清住（旧）,気象庁,42.98,140.52,6440347141,8,307.9,1.2498
1170501,岩内町高台,気象庁,42.98,140.515,6440347131,8,292.4,1.3058
1170520,岩内町清住＊,防災科研,42.9793,140.5094,6440347042,17,194.5,1.8484
1170630,泊村茅沼村（旧）＊,自治体,43.07,140.5,6440448013,1,641.3,0.6689
1170631,泊村茅沼村＊,自治体,43.0633,140.4989,6440437942,8,449.8,0.9049
1170720,神恵内村神恵内＊,防災科研,43.144897,140.435497,6440537424,10,275,1.3761
1190000,奥尻町米岡,気象庁,42.07,139.43,6339038414,8,340.6,1.1468
1190001,奥尻町松江,気象庁,42.085,139.4705,6339130721,8,478.1,0.8591
1190021,奥尻町青苗＊,自治体,42.07,139.45,6339038524,10,247.2,1.5069
1190030,奥尻町奥尻（旧）＊,自治体,42.17,139.52,6339240123,0,0,0
1190031,奥尻町奥尻＊,自治体,42.1723,139.514,6339240131,10,273.2,1.3838
1190070,奥尻町奥尻（臨時）,気象庁,42.17,139.52,6339240123,0,0,0
1200020,深川市１条＊,防災科研,43.724297,142.0525,6542406433,13,174.9,2.0234
1200070,鷹泊通報所,気象庁,43.9,142.1,6542608722,8,476.1,0.862
1200130,妹背牛町妹背牛（旧）＊,自治体,43.7,141.97,6541474721,13,167.9,2.0956
1200131,妹背牛町妹背牛＊,自治体,43.7001,141.9617,6541474622,13,167.2,2.1021
1200230,秩父別町役場（旧）＊,自治体,43.77,141.95,6541572524,13,172.4,2.0481
1200231,秩父別町役場＊,自治体,43.767,141.958,6541572621,12,234,1.5789
1200300,北竜町竜西,気象庁,43.7454,141.7212,6541459723,10,417.9,0.9634
1200330,北竜町和（旧）＊,自治体,43.73,141.88,6541477032,11,310.9,1.2397
1200331,北竜町和＊,自治体,43.7314,141.879,6541477034,11,310.9,1.2395
1200420,沼田町沼田＊,防災科研,43.800697,141.9342,6541576421,13,173.9,2.0334
1200470,石狩沼田通報所,気象庁,43.8,141.95,6541576522,13,174,2.0325
1210000,芦別市旭町,気象庁,43.5068,142.2192,6542210743,1,641.3,0.6689
1210020,芦別市北２条＊,防災科研,43.519897,142.191397,6542212514,8,466.6,0.8769
1210130,赤平市泉町（旧）＊,自治体,43.55,142.05,6542206411,8,472.7,0.8673
1210131,赤平市泉町＊,自治体,43.5581,142.0442,6542206343,8,452.5,0.9003
1210200,滝川市大町,気象庁,43.5574,141.9108,6541276244,11,300.7,1.2753
1210220,滝川市新町＊,防災科研,43.552397,141.917497,6541276314,11,299.9,1.278
1210270,滝川通報所,気象庁,43.57,141.95,6541278524,11,316.5,1.2207
1210330,砂川市西６条（旧）＊,自治体,43.5,141.9,6541270211,22,179,1.9839
1210331,砂川市西６条＊,自治体,43.4948,141.9035,6541179214,13,169.6,2.0773
1210430,歌志内市本町（旧）＊,自治体,43.52,142.03,6542202214,8,478.3,0.8588
1210431,歌志内市本町＊,自治体,43.5213,142.0346,6542202242,10,384.1,1.035
1210530,奈井江町奈井江（旧）＊,自治体,43.43,141.88,6541171032,11,295.9,1.2929
1210531,奈井江町奈井江＊,自治体,43.4254,141.8828,6541171021,11,300.8,1.2749
1210630,上砂川町上砂川（旧）＊,自治体,43.48,141.98,6541177832,1,641.3,0.6689
1210631,上砂川町上砂川（旧２）＊,自治体,43.48,141.98,6541177832,1,641.3,0.6689
1210632,上砂川町上砂川＊,自治体,43.4672,142.0013,6542106011,1,641.3,0.6689
1210730,浦臼町ウラウスナイ＊,自治体,43.4305,141.8188,6541161541,11,298.5,1.2833
1210830,新十津川町中央（旧）＊,自治体,43.55,141.88,6541276012,13,167.1,2.1039
1210831,新十津川町中央（旧２）＊,自治体,43.55,141.88,6541276012,13,167.1,2.1039
1210832,新十津川町中央＊,自治体,43.5485,141.877,6541275033,11,307.4,1.2514
1210930,雨竜町フシコウリウ（旧）＊,自治体,43.65,141.88,6541378012,8,399.1,1.0019
1210931,雨竜町フシコウリウ（旧２）＊,自治体,43.65,141.88,6541378012,8,399.1,1.0019
1210932,雨竜町フシコウリウ＊,自治体,43.6439,141.889,6541377113,8,368.6,1.0722
1220000,夕張市若菜,気象庁,43.0287,141.9654,6441473713,10,443.8,0.9152
1220020,夕張市清水沢宮前町＊,自治体,43,142.02,6442400121,10,410.4,0.9783
1220070,夕張通報所,気象庁,43.03,141.97,6441473741,1,641.3,0.6689
1220100,岩見沢市５条,気象庁,43.2125,141.7856,6441665242,8,443.9,0.9151
1220120,岩見沢市鳩が丘＊,防災科研,43.1968,141.775397,6441663231,8,416.4,0.9664
1220130,岩見沢市北村赤川（旧）＊,自治体,43.27,141.7,6441752524,13,156,2.231
1220131,岩見沢市栗沢町東本町（旧）＊,自治体,43.12,141.75,6441564013,8,425.4,0.9489
1220132,岩見沢市北村赤川＊,自治体,43.2622,141.6959,6441751523,13,155.8,2.2325
1220133,岩見沢市栗沢町東本町（旧２）＊,自治体,43.12,141.75,6441564013,8,425.4,0.9489
1220134,岩見沢市栗沢町東本町＊,自治体,43.1211,141.7465,6441554941,13,169.3,2.0798
1220160,北村赤川（旧）＊,自治体,43.27,141.7,6441752524,13,156,2.231
1220200,美唄市西４条,気象庁,43.33,141.85,6441769742,11,301.8,1.2712
1220201,美唄市西５条,気象庁,43.3345,141.8468,6541060721,13,166.7,2.1078
1220220,美唄市西３条＊,防災科研,43.333197,141.855297,6441769834,11,298.2,1.2844
1220330,三笠市若松町＊,自治体,43.25,141.87,6441760921,8,471.4,0.8694
1220331,三笠市幸町＊,自治体,43.2454,141.8753,6441679013,10,321.4,1.205
1220630,南幌町栄町（旧）＊,自治体,43.07,141.65,6441458213,13,156.4,2.2251
1220631,南幌町栄町＊,自治体,43.0638,141.6504,6441457231,13,157.1,2.2177
1220720,由仁町新光＊,防災科研,42.9986,141.7904,6441369333,13,177.9,1.9945
1220830,長沼町中央（旧）＊,自治体,43.02,141.7,6441452524,13,164.5,2.1323
1220831,長沼町中央＊,自治体,43.0101,141.6952,6441451521,13,162.9,2.1494
1220930,栗山町松風（旧）＊,自治体,43.05,141.78,6441466212,13,171.3,2.0595
1220931,栗山町松風＊,自治体,43.0563,141.7843,6441466243,13,173.6,2.0367
1221020,月形町円山公園＊,防災科研,43.344297,141.663497,6541051313,8,448.4,0.9073
1250000,士別市東６条（旧）,気象庁,44.18,142.4,6642231231,13,186.8,1.9129
1250001,士別市朝日町,気象庁,44.1189,142.5933,6642144714,1,775.5,0.5689
1250002,士別市東６条,気象庁,44.1771,142.4013,6642231213,13,186.5,1.9155
1250021,士別市東３条＊,防災科研,44.182097,142.3942,6642231143,13,184.9,1.9296
1250100,名寄市大通,気象庁,44.3557,142.4632,6642432731,11,331.9,1.1724
1250120,名寄市西５条＊,防災科研,44.359797,142.4547,6642433612,11,336,1.1601
1250130,名寄市風連町（旧）＊,自治体,44.3,142.42,6642336321,11,337.5,1.1557
1250131,名寄市風連町＊,自治体,44.2923,142.4141,6642335311,11,339.5,1.1499
1250170,名寄通報所,気象庁,44.37,142.45,6642434524,22,179.3,1.9813
1250220,和寒町西町＊,防災科研,44.023497,142.412297,6642032244,11,348.3,1.1252
1250330,剣淵町仲町（旧）＊,自治体,44.1,142.37,6642122921,8,420.8,0.9578
1250331,剣淵町仲町＊,自治体,44.0959,142.3612,6642121842,8,392,1.0174
1250620,下川町北町＊,防災科研,44.3111,142.641897,6642357114,8,499.4,0.8277
1250720,美深町西町＊,防災科研,44.4806,142.3427,6642527732,11,331.9,1.1722
1250721,美深町仁宇布＊,防災科研,44.545,142.569097,6642645523,10,431.2,0.9381
1250820,音威子府村音威子府＊,防災科研,44.7284,142.263597,6742027113,10,328.6,1.1823
1250920,上川中川町中川＊,防災科研,44.811597,142.071697,6742107523,13,172.3,2.0493
1251020,幌加内町平和＊,防災科研,44.0071,142.1484,6642010144,13,187.8,1.9042
1251021,幌加内町朱鞠内＊,防災科研,44.280597,142.1612,6642313242,10,440,0.922
1260000,旭川市８条通,気象庁,43.77,142.37,6542522923,11,344.7,1.1352
1260001,旭川市宮前１条,気象庁,43.7577,142.373,6542520944,11,342.1,1.1426
1260020,旭川市７条＊,防災科研,43.772597,142.3648,6542522931,11,342.4,1.1416
1260130,鷹栖町南１条（旧）＊,自治体,43.85,142.35,6542622722,11,344.6,1.1354
1260131,鷹栖町南１条＊,自治体,43.8434,142.3544,6542621812,11,344.3,1.1364
1260230,東神楽町南１条（旧）＊,自治体,43.7,142.45,6542434522,11,358.1,1.0988
1260231,東神楽町南１条＊,自治体,43.6966,142.4514,6542433631,11,358.4,1.0979
1260330,当麻町３条（旧）＊,自治体,43.83,142.52,6542549141,11,356.6,1.1027
1260331,当麻町３条＊,自治体,43.8282,142.5084,6542549023,11,352.5,1.1138
1260430,比布町北町（旧）＊,自治体,43.88,142.48,6542635832,11,353.6,1.1107
1260431,比布町北町＊,自治体,43.8751,142.4776,6542635811,11,354.4,1.1087
1260520,愛別町南町＊,防災科研,43.908997,142.5695,6542649521,11,367.9,1.0739
1260600,上川町白川,気象庁,43.82,142.85,6542568724,1,775.5,0.5689
1260601,上川地方上川町越路,気象庁,43.8763,142.7437,6542655912,8,545.6,0.7676
1260620,上川地方上川町花園町＊,防災科研,43.8543,142.768597,6542662132,3,413.3,0.9725
1260621,上川地方上川町清川＊,防災科研,43.7704,142.9033,6542572214,10,476,0.8622
1260730,東川町東町＊,自治体,43.699,142.5103,6542443044,11,364.6,1.0822
1260820,美瑛町本町＊,防災科研,43.5885,142.4675,6542330732,11,368,1.0736
1260821,美瑛町忠別＊,防災科研,43.624897,142.683697,6542354443,8,552.8,0.7591
1270000,富良野市若松町,気象庁,43.3457,142.3843,6542031023,12,267.1,1.4106
1270020,富良野市末広町＊,防災科研,43.3421,142.3845,6542031022,12,267.1,1.4107
1270070,富良野通報所,気象庁,43.33,142.4,6442739231,12,267.9,1.4071
1270100,上富良野町大町,気象庁,43.4557,142.467,6542134732,11,366.4,1.0777
1270230,中富良野町市街地（旧）＊,自治体,43.4,142.43,6542038412,13,178,1.9931
1270231,中富良野町本町＊,自治体,43.4057,142.4251,6542038431,12,268.4,1.405
1270300,南富良野町幾寅,気象庁,43.1664,142.5903,6442549733,10,454,0.8977
1270320,南富良野町役場＊,防災科研,43.1666,142.5662,6442549534,11,382.2,1.0395
1270420,占冠村中央＊,防災科研,42.980497,142.399497,6442337142,10,448.7,0.9068
1300030,苫前町旭（旧）＊,自治体,44.3,141.65,6641356211,8,354.8,1.1076
1300031,苫前町旭＊,自治体,44.306,141.653,6641356231,8,357.2,1.1011
1300100,羽幌町南３条,気象庁,44.3633,141.7008,6641453631,17,194.5,1.8484
1300101,羽幌町焼尻,気象庁,44.4293,141.4228,6641531342,7,351.4,1.1167
1300120,羽幌町南町＊,防災科研,44.3611,141.6978,6641453524,8,309.3,1.2448
1300200,初山別村有明,気象庁,44.4017,141.8493,6641468722,10,384.2,1.0348
1300220,初山別村初山別＊,防災科研,44.532297,141.7664,6641663134,15,187,1.9112
1300320,遠別町本町＊,防災科研,44.719497,141.828397,6741066614,13,172.5,2.0476
1300420,天塩町川口＊,防災科研,44.8845,141.75,6741266011,18,194.5,1.8484
1310000,留萌市大町（旧）,気象庁,43.95,141.63,6541754012,8,308.2,1.2489
1310001,留萌市大町,気象庁,43.9463,141.6322,6541753041,8,392.6,1.0159
1310020,留萌市幸町＊,防災科研,43.940697,141.637,6541752044,8,412.9,0.9734
1310120,増毛町見晴町＊,防災科研,43.8515,141.5275,6541642211,8,446.4,0.9108
1310121,増毛町岩尾＊,防災科研,43.773497,141.3685,6541522934,8,350.8,1.1184
1310220,小平町鬼鹿＊,防災科研,44.1486,141.664197,6641157333,7,351.4,1.1167
1310221,小平町達布＊,防災科研,44.0489,141.8573,6641065843,10,332.9,1.1692
1350000,稚内市開運（旧）,気象庁,45.42,141.68,6841150414,20,253.3,1.4761
1350001,稚内市恵北,気象庁,45.3183,141.8934,6741778112,3,489.1,0.8426
1350002,稚内市開運,気象庁,45.4154,141.6783,6841059434,20,253.3,1.4761
1350020,稚内市中央＊,防災科研,45.416297,141.671997,6841059344,8,409.7,0.9799
1350021,稚内市宗谷岬＊,防災科研,45.513197,141.9548,6841271632,8,395.7,1.0093
1350022,稚内市沼川（旧）＊,自治体,45.25,141.85,6741760722,13,167.7,2.0978
1350023,稚内市沼川＊,防災科研,45.252497,141.8531,6741760813,8,374.4,1.058
1350070,稚内公園,気象庁,45.42,141.67,6841150323,7,351.4,1.1167
1350120,猿払村鬼志別＊,自治体,45.33,142.1,6742709742,10,256.7,1.4593
1350121,猿払村浅茅野＊,防災科研,45.2141,142.2255,6742615831,15,185.4,1.9258
1350122,猿払村浜鬼志別＊,防災科研,45.3328,142.1748,6742719344,8,300.1,1.2775
1350220,豊富町西６条＊,防災科研,45.103,141.766697,6741562114,12,201,1.7973
1350330,幌延町宮園町（旧２）＊,自治体,45.02,141.85,6741462724,3,392,1.0174
1350331,幌延町宮園町＊,自治体,45.0177,141.8494,6741462722,11,287.4,1.3254
1360020,浜頓別町クッチャロ＊,防災科研,45.1266,142.3519,6742525811,8,312,1.2358
1360120,中頓別町中頓別＊,防災科研,44.969797,142.290797,6742326314,10,307.6,1.2509
1360200,宗谷枝幸町本町（旧）,気象庁,44.93,142.58,6742341632,8,385.2,1.0326
1360201,宗谷枝幸町岬町,気象庁,44.9614,142.5798,6742345614,8,369.4,1.0702
1360202,宗谷枝幸町本町（旧２）,気象庁,44.93,142.58,6742341632,8,385.2,1.0326
1360203,宗谷枝幸町本町,気象庁,44.9402,142.5851,6742342644,8,341,1.1455
1360220,宗谷枝幸町栄町＊,防災科研,44.9375,142.574397,6742342542,8,418.5,0.9623
1360221,宗谷枝幸町歌登東町＊,防災科研,44.8417,142.481097,6742231812,10,246.7,1.5094
1360222,宗谷枝幸町風烈布＊,防災科研,44.7406,142.763297,6742068133,8,339.9,1.1488
1390000,礼文町上泊埼,気象庁,45.4234,141.065,6841100533,8,448.3,0.9074
1390020,礼文町香深＊,防災科研,45.3049,141.0475,6741706342,1,641.3,0.6689
1390021,礼文町船泊＊,防災科研,45.4408,141.036697,6841102244,16,260.2,1.4425
1390130,利尻町沓形（旧）＊,自治体,45.18,141.13,6741611032,0,0,0
1390131,利尻町沓形＊,自治体,45.1871,141.1396,6741612113,5,295.1,1.2958
1390200,利尻富士町鬼脇,気象庁,45.14,141.3074,6741526443,5,303.5,1.2653
1390220,利尻富士町鴛泊＊,防災科研,45.246,141.217,6741619732,5,289.3,1.3179
1400000,網走市台町,気象庁,44.0182,144.2796,6644022212,3,408.1,0.983
1400020,網走市南６条＊,防災科研,44.020097,144.272897,6644022124,8,396.3,1.008
1400300,美幌町東３条（旧）,気象庁,43.82,144.1,6544508724,8,418.5,0.9623
1400301,美幌町東３条,気象庁,43.8161,144.1033,6544507834,8,406.3,0.9868
1400420,津別町幸町＊,防災科研,43.7055,144.027197,6544404231,8,469.6,0.8723
1400500,斜里町本町,気象庁,43.9114,144.6711,6544659323,17,194.5,1.8484
1400521,斜里町ウトロ香川＊,防災科研,44.069897,144.997297,6644078924,7,351.4,1.1167
1400630,清里町羽衣町（旧）＊,自治体,43.83,144.6,6544549742,11,299.3,1.2802
1400631,清里町羽衣町＊,自治体,43.8352,144.5946,6544640721,11,301.4,1.2727
1400720,小清水町小清水＊,防災科研,43.856497,144.462897,6544632733,8,269.9,1.3983
1401030,大空町東藻琴（旧）＊,自治体,43.83,144.3,6544529431,8,303,1.2669
1401031,大空町女満別西３条（旧）＊,自治体,43.92,144.17,6544710323,24,0,0
1401032,大空町東藻琴＊,自治体,43.8413,144.2949,6544620343,8,312.1,1.2354
1401033,大空町女満別西３条＊,自治体,43.912,144.1725,6544619324,9,231.7,1.5924
1401070,女満別出張所,気象庁,43.92,144.2,6544710524,9,294,1.2998
1410000,北見市公園町,気象庁,43.8177,143.9032,6543578212,5,292.1,1.3073
1410001,北見市留辺蘂町上町,気象庁,43.7884,143.6153,6543544931,10,415.5,0.9681
1410002,北見市常呂町吉野,気象庁,43.9732,143.9042,6543776234,10,363.7,1.0845
1410020,北見市南仲町＊,防災科研,43.799597,143.9008,6543575233,8,430.2,0.9399
1410021,北見市常呂町常呂＊,防災科研,44.120397,144.0712,6644104523,16,260.2,1.4425
1410022,北見市留辺蘂町栄町＊,防災科研,43.7849,143.6072,6543544821,8,484.6,0.8492
1410023,北見市留辺蘂町富士見＊,防災科研,43.674597,143.308797,6543420443,8,545.8,0.7673
